area,bedrooms,location,price
62.3,2,"Quận 11, Hồ Chí Minh",6.8
72,8,"Quận 11, Hồ Chí Minh",20
44,2,"Quận 11, Hồ Chí Minh",5.7
65,4,"Quận 11, Hồ Chí Minh",10.8
65,3,"Quận 11, Hồ Chí Minh",10.8
58,2,"Quận 11, Hồ Chí Minh",7.5
110,5,"Quận 11, Hồ Chí Minh",29
61,2,"Quận 11, Hồ Chí Minh",7.45
71,4,"Quận 11, Hồ Chí Minh",14.9
64,5,"Quận 11, Hồ Chí Minh",13.2
62,3,"Quận 11, Hồ Chí Minh",11
34,3,"Quận 11, Hồ Chí Minh",5.4
55,2,"Quận 11, Hồ Chí Minh",7.5
44,4,"Quận 11, Hồ Chí Minh",6.3
209,10,"Quận Tân Bình, Hồ Chí Minh",22
74.5,5,"Quận 11, Hồ Chí Minh",8
60,0,"Quận 11, Hồ Chí Minh",6.6
64,6,"Quận 11, Hồ Chí Minh",10.9
60,4,"Quận 11, Hồ Chí Minh",5.12
72,6,"Quận 11, Hồ Chí Minh",24.2
25,2,"Quận 11, Hồ Chí Minh",3.7
122,4,"Quận 11, Hồ Chí Minh",14.9
250,0,"Quận 11, Hồ Chí Minh",110
105,0,"Quận 11, Hồ Chí Minh",19.9
130,0,"Quận 11, Hồ Chí Minh",43.5
52,0,"Quận 11, Hồ Chí Minh",5.9
64,4,"Quận 11, Hồ Chí Minh",6.1
46,4,"Quận 11, Hồ Chí Minh",8.2
47,2,"Quận 11, Hồ Chí Minh",7.5
35,4,"Quận 11, Hồ Chí Minh",7.3
39,2,"Quận 11, Hồ Chí Minh",3.95
14,2,"Quận 11, Hồ Chí Minh",2.52
33,2,"Quận 11, Hồ Chí Minh",5.98
40,3,"Quận 11, Hồ Chí Minh",7.7
39,5,"Quận 11, Hồ Chí Minh",6.499
181,4,"Quận Tân Bình, Hồ Chí Minh",45
54,0,"Quận 11, Hồ Chí Minh",12.5
61,4,"Quận 11, Hồ Chí Minh",15.9
26,4,"Quận 11, Hồ Chí Minh",4.5
40,4,"Quận Tân Bình, Hồ Chí Minh",11
50,2,"Quận 11, Hồ Chí Minh",3.45
142,2,"Quận 11, Hồ Chí Minh",17.7
64,0,"Quận 11, Hồ Chí Minh",9.75
64,4,"Quận 11, Hồ Chí Minh",9.75
12.3,2,"Quận 11, Hồ Chí Minh",2.38
154,3,"Quận Bình Thạnh, Hồ Chí Minh",22.9
69,3,"Quận 11, Hồ Chí Minh",4.45
51,4,"Quận 11, Hồ Chí Minh",8.3
35,5,"Quận 11, Hồ Chí Minh",5.5
62,3,"Quận 11, Hồ Chí Minh",2.89
37,4,"Quận 11, Hồ Chí Minh",5.5
47,4,"Quận 11, Hồ Chí Minh",8.4
84,6,"Quận 11, Hồ Chí Minh",19.5
76,0,"Quận 11, Hồ Chí Minh",17
64,3,"Quận 11, Hồ Chí Minh",12.5
71,3,"Quận 11, Hồ Chí Minh",7.7
74,3,"Quận 11, Hồ Chí Minh",7.7
69,2,"Quận 11, Hồ Chí Minh",4.8
240,0,"Quận 11, Hồ Chí Minh",60
37,4,"Quận 11, Hồ Chí Minh",6.5
38,6,"Quận 10, Hồ Chí Minh",23
40,2,"Quận 10, Hồ Chí Minh",18
214,0,"Quận 11, Hồ Chí Minh",45
148,4,"Quận 10, Hồ Chí Minh",29
84,6,"Quận 11, Hồ Chí Minh",13.6
185,10,"Quận 6, Hồ Chí Minh",38
336,9,"Quận Phú Nhuận, Hồ Chí Minh",87
39,2,"Quận 11, Hồ Chí Minh",5.5
22,2,"Quận 11, Hồ Chí Minh",3.2
31,4,"Quận 11, Hồ Chí Minh",7.1
61,2,"Quận 11, Hồ Chí Minh",11
35,2,"Quận 11, Hồ Chí Minh",5.15
46.47,2,"Quận 11, Hồ Chí Minh",7.3
144,2,"Quận 11, Hồ Chí Minh",17.7
21,2,"Quận 11, Hồ Chí Minh",3.185
52,3,"Quận 11, Hồ Chí Minh",11.9
50,3,"Quận 11, Hồ Chí Minh",9.15
84.8,0,"Quận 10, Hồ Chí Minh",29
173.7,4,"Quận 11, Hồ Chí Minh",29.5
336,9,"Quận 11, Hồ Chí Minh",87
42,4,"Quận 11, Hồ Chí Minh",7.8
53,4,"Quận 11, Hồ Chí Minh",7.8
120,5,"Quận 11, Hồ Chí Minh",19.6
70,8,"Quận 11, Hồ Chí Minh",14.9
66,7,"Quận 11, Hồ Chí Minh",16
250,6,"Quận 11, Hồ Chí Minh",45
38,4,"Quận 11, Hồ Chí Minh",5.5
79,2,"Quận 11, Hồ Chí Minh",12
66.5,7,"Quận 11, Hồ Chí Minh",16
150,0,"Quận 11, Hồ Chí Minh",29
43.7,4,"Quận 11, Hồ Chí Minh",1.59
63,4,"Quận 11, Hồ Chí Minh",12
112,4,"Quận 11, Hồ Chí Minh",21
70,11,"Quận 11, Hồ Chí Minh",16.5
250,2,"Quận 11, Hồ Chí Minh",39.9
168,34,"Quận 11, Hồ Chí Minh",21
65,2,"Quận 11, Hồ Chí Minh",3.65
304,0,"Quận 11, Hồ Chí Minh",148
56,0,"Quận 11, Hồ Chí Minh",12.5
55,3,"Quận 11, Hồ Chí Minh",3.4
235,2,"Quận 11, Hồ Chí Minh",115
330,9,"Quận 11, Hồ Chí Minh",120
190,5,"Quận 11, Hồ Chí Minh",30.9
30,4,"Quận 11, Hồ Chí Minh",7.45
54,5,"Quận 10, Hồ Chí Minh",10
113,18,"Quận Tân Bình, Hồ Chí Minh",20
75,6,"Quận 11, Hồ Chí Minh",12.9
53,3,"Quận 11, Hồ Chí Minh",6.5
31,4,"Quận 11, Hồ Chí Minh",5.9
142,2,"Quận Tân Bình, Hồ Chí Minh",17.7
24,2,"Quận 11, Hồ Chí Minh",4
60,5,"Quận 11, Hồ Chí Minh",13.5
54,6,"Quận 11, Hồ Chí Minh",10.5
48.5,3,"Quận 11, Hồ Chí Minh",6.98
27,2,"Quận 11, Hồ Chí Minh",1.89
27.2,2,"Quận 11, Hồ Chí Minh",1.89
350,0,"Quận 11, Hồ Chí Minh",70
112,0,"Quận 11, Hồ Chí Minh",65
50,3,"Quận 11, Hồ Chí Minh",9.3
64,0,"Quận 11, Hồ Chí Minh",21
24,4,"Quận 11, Hồ Chí Minh",3.98
64,2,"Quận 11, Hồ Chí Minh",3.6
110,2,"Quận 11, Hồ Chí Minh",7.2
66,2,"Quận 11, Hồ Chí Minh",2.95
64,2,"Quận 11, Hồ Chí Minh",2.9
65,2,"Quận 11, Hồ Chí Minh",3.15
50,1,"Quận 11, Hồ Chí Minh",3.6
66,2,"Quận 11, Hồ Chí Minh",3.7
56,7,"Quận 11, Hồ Chí Minh",9
28,4,"Quận 11, Hồ Chí Minh",3.9
24,4,"Quận 11, Hồ Chí Minh",3.88
190,0,"Quận 11, Hồ Chí Minh",50
116,0,"Quận 11, Hồ Chí Minh",30.5
110,4,"Quận 11, Hồ Chí Minh",19
82,2,"Quận 11, Hồ Chí Minh",7.5
50,3,"Quận 11, Hồ Chí Minh",2.65
65,3,"Quận 11, Hồ Chí Minh",2.53
56,3,"Quận 11, Hồ Chí Minh",9.2
33,2,"Quận 11, Hồ Chí Minh",5.9
25,2,"Quận 11, Hồ Chí Minh",3.75
35,3,"Quận 11, Hồ Chí Minh",6.3
50,3,"Quận 11, Hồ Chí Minh",7.7
63.5,2,"Quận 11, Hồ Chí Minh",4.45
51,4,"Quận 11, Hồ Chí Minh",8.6
24,4,"Quận 11, Hồ Chí Minh",5.6
113,12,"Quận 11, Hồ Chí Minh",13.5
140,6,"Quận 11, Hồ Chí Minh",36
31,2,"Quận 11, Hồ Chí Minh",3.9
47,3,"Quận 11, Hồ Chí Minh",7.8
33,3,"Quận 11, Hồ Chí Minh",6.4
215,0,"Quận 11, Hồ Chí Minh",45
59,3,"Quận 11, Hồ Chí Minh",8.6
160,0,"Quận 11, Hồ Chí Minh",23.98
225,0,"Quận 11, Hồ Chí Minh",59
120,4,"Quận 11, Hồ Chí Minh",28
88.3,9,"Quận 11, Hồ Chí Minh",18
21,2,"Quận 11, Hồ Chí Minh",4.25
70,3,"Quận 11, Hồ Chí Minh",6.6
26,2,"Quận 11, Hồ Chí Minh",5
40,4,"Quận 11, Hồ Chí Minh",8.2
36,3,"Quận 11, Hồ Chí Minh",6.8
40,2,"Quận 12, Hồ Chí Minh",1.89
60,0,"Quận 11, Hồ Chí Minh",14.8
79,4,"Quận 11, Hồ Chí Minh",9.8
80,5,"Quận 11, Hồ Chí Minh",24
68,2,"Quận 11, Hồ Chí Minh",135
350,0,"Quận 11, Hồ Chí Minh",62.8
115,12,"Quận 11, Hồ Chí Minh",13.5
42,3,"Quận 11, Hồ Chí Minh",13
62,5,"Quận 11, Hồ Chí Minh",148
39,4,"Quận 11, Hồ Chí Minh",69
39,4,"Quận 11, Hồ Chí Minh",6.9
70,5,"Quận 11, Hồ Chí Minh",9.95
45,3,"Quận 11, Hồ Chí Minh",7.6
92,4,"Quận 11, Hồ Chí Minh",10.95
40,3,"Quận 11, Hồ Chí Minh",57
64,3,"Quận 11, Hồ Chí Minh",15.5
155,0,"Quận 11, Hồ Chí Minh",30
36,2,"Quận 11, Hồ Chí Minh",5.25
90,4,"Quận 11, Hồ Chí Minh",18.7
27,2,"Quận 11, Hồ Chí Minh",1.55
66,4,"Quận 11, Hồ Chí Minh",3.75
50,3,"Quận 11, Hồ Chí Minh",11.5
62.6,3,"Quận 11, Hồ Chí Minh",1.87
330,0,"Quận 11, Hồ Chí Minh",170
78,5,"Quận 11, Hồ Chí Minh",3.75
80,4,"Quận 11, Hồ Chí Minh",18.9
39,4,"Quận 11, Hồ Chí Minh",6.49
42,4,"Quận 11, Hồ Chí Minh",5.89
34,2,"Quận 11, Hồ Chí Minh",3.74
80,7,"Quận 11, Hồ Chí Minh",12
58,5,"Quận 11, Hồ Chí Minh",8.9
32,2,"Quận 11, Hồ Chí Minh",3.29
58,5,"Quận 11, Hồ Chí Minh",8.48
37,5,"Quận 11, Hồ Chí Minh",5.79
42,3,"Quận 11, Hồ Chí Minh",9.9
66,5,"Quận 11, Hồ Chí Minh",10
57,2,"Quận 11, Hồ Chí Minh",7
39,2,"Quận 11, Hồ Chí Minh",6.8
51,2,"Quận 11, Hồ Chí Minh",5.89
85,4,"Quận 11, Hồ Chí Minh",27
30,2,"Quận 11, Hồ Chí Minh",4.48
52,7,"Quận 11, Hồ Chí Minh",10.9
35,2,"Quận 11, Hồ Chí Minh",5.19
32,4,"Quận 11, Hồ Chí Minh",5.7
44,5,"Quận 11, Hồ Chí Minh",8.9
75,6,"Quận 11, Hồ Chí Minh",12
46,4,"Quận 11, Hồ Chí Minh",7.49
36,4,"Quận 11, Hồ Chí Minh",7.82
60,4,"Quận 11, Hồ Chí Minh",12
91,0,"Quận 11, Hồ Chí Minh",20.5
45,4,"Quận 11, Hồ Chí Minh",6.8
32,4,"Quận 11, Hồ Chí Minh",5
35,3,"Quận 11, Hồ Chí Minh",7
68,3,"Quận 11, Hồ Chí Minh",7
35,2,"Quận 11, Hồ Chí Minh",5.2
75,4,"Quận 11, Hồ Chí Minh",6.15
50,3,"Quận 11, Hồ Chí Minh",9
86,4,"Quận 11, Hồ Chí Minh",20
54,5,"Quận 11, Hồ Chí Minh",15.5
46,4,"Quận 11, Hồ Chí Minh",6
46,4,"Quận 11, Hồ Chí Minh",6.8
38,4,"Quận 11, Hồ Chí Minh",5.7
74,3,"Quận 11, Hồ Chí Minh",14
33,5,"Quận 11, Hồ Chí Minh",8.7
82,3,"Quận 11, Hồ Chí Minh",7
82,3,"Quận 11, Hồ Chí Minh",7.49
72,4,"Quận 11, Hồ Chí Minh",12.3
65,5,"Quận 11, Hồ Chí Minh",13.5
45,8,"Quận 1, Hồ Chí Minh",13.5
70,2,"Quận 1, Hồ Chí Minh",22.2
43,0,"Quận 1, Hồ Chí Minh",11.2
